sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
25792380717,2020-02-06T11:53:30Z,82,22,20,40,104,60,0.13213213213213212
25760143698,2020-02-04T08:56:30Z,73,20,22,31,60,62,0.1111111111111111
25747116820,2020-02-03T09:58:30Z,71,21,20,30,58,61,0.12521150592216582
25733126343,2020-02-02T11:11:00Z,90,24,21,45,135,62,0.14537444933920704
25720352714,2020-02-01T13:04:00Z,76,22,15,39,91,60,0.13253012048192772
25707117394,2020-01-31T10:54:30Z,73,21,21,31,55,58,0.09702660406885759
25686688080,2020-01-30T11:42:00Z,78,21,14,43,87,57,0.13272543059777103
25663926092,2020-01-29T11:03:00Z,80,21,19,40,57,57,0.10631229235880399
25646396091,2020-01-28T08:22:00Z,89,22,21,46,93,58,0.10408326661329063
25646396090,2020-01-27T08:07:00Z,74,21,22,31,45,58,0.09233791748526522
25603717274,2020-01-25T12:44:30Z,89,23,21,45,113,59,0.10492332526230831
25589352989,2020-01-24T08:51:30Z,79,20,23,36,98,60,0.08921438082556592
25570950573,2020-01-23T09:05:30Z,81,22,22,37,100,59,0.09480812641083522
25559154430,2020-01-22T09:48:30Z,87,23,21,43,107,59,0.10552763819095477
25540665897,2020-01-21T08:58:00Z,83,21,22,40,79,60,0.0839080459770115
25527245565,2020-01-20T09:51:30Z,81,23,23,35,112,60,0.08175182481751825
25513435104,2020-01-19T11:18:30Z,72,21,22,29,54,60,0.10549777117384844
25500801367,2020-01-18T10:46:00Z,77,21,21,35,64,59,0.1307609860664523
25487749247,2020-01-17T09:39:00Z,81,22,20,39,86,60,0.15825688073394495
25470783677,2020-01-16T12:06:30Z,79,21,22,36,59,60,0.11692307692307692
25456095986,2020-01-15T09:57:30Z,80,22,18,40,106,59,0.12277413308341144
25444559738,2020-01-14T12:04:30Z,75,21,21,33,67,59,0.12283044058744993
25444559737,2020-01-13T11:34:30Z,81,21,22,38,65,60,0.10963855421686747
25408949265,2020-01-12T12:53:00Z,84,22,21,41,100,59,0.11553784860557768
25398913954,2020-01-11T11:18:00Z,85,21,21,43,108,59,0.11386138613861387
25384534511,2020-01-10T09:46:00Z,73,20,22,31,68,59,0.10865874363327674
25384534510,2020-01-09T06:26:30Z,70,20,22,28,36,59,0.07390300230946882
25353526998,2020-01-08T11:05:00Z,81,22,20,39,86,58,0.10652920962199312
25353526996,2020-01-07T10:45:00Z,84,22,20,42,93,57,0.07905544147843943
25312193157,2020-01-06T10:37:00Z,78,21,21,36,73,59,0.1268472906403941
25312193156,2020-01-05T10:43:00Z,90,23,21,46,111,58,0.1102803738317757
25312193155,2020-01-04T10:45:00Z,81,22,22,37,99,58,0.10244470314318975
25312193154,2020-01-03T10:26:00Z,88,23,21,44,111,59,0.13746630727762804
25312193153,2020-01-02T12:01:30Z,85,22,21,42,89,59,0.10482180293501048
25235763870,2020-01-01T11:57:00Z,78,21,19,38,77,58,0.13984461709211987
25223441935,2019-12-31T11:43:00Z,86,23,20,43,113,58,0.10598626104023552
25207714518,2019-12-30T07:03:00Z,77,21,19,37,75,59,0.1790341578327444
25195228392,2019-12-29T08:39:30Z,84,23,21,40,121,59,0.14027149321266968
25177446102,2019-12-28T08:26:00Z,84,23,20,41,111,58,0.123046875
25166072352,2019-12-27T07:59:30Z,79,22,20,37,90,58,0.13001083423618634
25157044416,2019-12-26T07:39:00Z,89,22,21,46,102,58,0.0847926267281106
25144323954,2019-12-25T08:39:30Z,81,22,17,42,97,56,0.11526794742163801
25131428348,2019-12-24T04:38:30Z,69,19,21,29,24,55,0.10144927536231885
25123883664,2019-12-23T10:30:30Z,90,24,20,46,134,54,0.14039621016365203
25114577441,2019-12-22T09:28:00Z,90,25,20,45,146,54,0.11379579111457522
25100531612,2019-12-21T11:09:00Z,81,22,20,39,84,53,0.12013348164627363
25089349863,2019-12-20T07:46:30Z,79,20,22,37,61,54,0.09016393442622951
25076065532,2019-12-19T10:17:00Z,79,21,22,36,76,55,0.08288043478260869
25061694834,2019-12-18T09:40:30Z,75,21,22,32,59,57,0.1039671682626539
25045991640,2019-12-17T09:22:30Z,83,21,21,41,73,56,0.083248730964467
25032855997,2019-12-16T10:23:00Z,75,18,20,37,78,58,0.12786885245901639
25021162449,2019-12-15T13:01:00Z,82,24,18,40,128,57,0.1364124597207304
25010569119,2019-12-14T10:53:00Z,76,21,22,33,58,58,0.11650485436893204
24998917893,2019-12-13T11:21:30Z,74,17,21,36,85,57,0.13872832369942195
24989048714,2019-12-12T13:11:00Z,78,19,21,38,68,57,0.11922365988909427
